Color Combination,Category
red and white,classic & bold
red and blue,classic & edgy
red and black,classic & fresh
red and purple,regal & luxurious & sophisticated 
red and brown,warm & earthy & autumnal
blue and white,classic & fresh
blue and yellow,fashion-forward & cheerful & vibrant
blue and grey,classic & cool
blue and black,classic & basic
blue and green,casual & harmonious & refreshing  & cool & tranquil
green and brown,natural & earthy
green and white,classic & fresh & clean
green and purple,fashion-forward & vibrant & contrasting
green and beige,basic & neutral
yellow and grey,modern & contemporary
yellow and blue,fashion-forward & bold & contrasting
yellow and black,classic & energetic & high-contrast
yellow and red,fashion-forward & vibrant & energetic
orange and blue,fashion-forward & vibrant & energetic
orange and brown,classic & autumnal & warm
orange and white,classic & fresh & summery
orange and purple,fashion-forward & dramatic & contrasting
orange and black,classic & bold & edgy
pink and grey,monochromatic & soft & elegant
pink and blue,fashion-forward & sophisticated & feminine
pink and white,classic & feminine & delicate
pink and red,monochromatic & vibrant & feminine
pink and black,classic & feminine & chic
purple and pink,harmonious & playful
black and white,classic & timeless
black and grey,classic & sleek & sophisticated
grey and pastel shades,casual & soft & muted
grey and red,sophisticated & modern
grey and yellow,neutral & pop of color & liveliness
orange and green,complementary & energetic & confident
orange and yellow,monochromatic
yellow and green,fresh & lively & cheerful
yellow and white,simplicity & bright & fresh
green and black,classic & calm & bold
purple and white,classic & elegant & feminine
purple and black,classic & bold & timeless
purple and grey,elegant & mysterious & harmony
brown and white,classic & earthy & warm 
brown and black,classic & timeless & luxurious
brown and yellow,earthy & lively & cheerful
grey and white,classic & timeless & clean
